ts,iso,equity,realized,unrealized,open_positions
1788499611.823598,2026-09-04T05:26:51.823603+00:00,100000.0,0.0,0.0,0
1788499671.8567758,2026-09-04T05:27:51.856782+00:00,100000.0,0.0,0.0,0
1788499731.864437,2026-09-04T05:28:51.864440+00:00,100000.0,0.0,0.0,0
1788499791.8845396,2026-09-04T05:29:51.884543+00:00,100000.0,0.0,0.0,0
1788499851.9171479,2026-09-04T05:30:51.917152+00:00,100000.0,0.0,0.0,0
1788499913.5240946,2026-09-04T05:31:53.524097+00:00,100000.0,0.0,0.0,0
1788499973.542778,2026-09-04T05:32:53.542780+00:00,100000.0,0.0,0.0,3
1788500038.9857152,2026-09-04T05:33:58.985717+00:00,100000.0,0.0,0.0,3
1788500109.939588,2026-09-04T05:35:09.939590+00:00,100000.0,0.0,0.0,3
1788500182.6749074,2026-09-04T05:36:22.674911+00:00,100000.0,0.0,0.0,3
1788500251.4323642,2026-09-04T05:37:31.432367+00:00,100000.0,0.0,0.0,3
